기간	자치구	행정동	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	행정동	세대	합계	합계	합계	한국인	한국인	한국인	외국인	외국인	외국인	세대당인구	65세이상고령자
기간	자치구	행정동	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2018.3/4	성북구	길음1동	13,007	37,859	18,110	19,749	37,653	18,021	19,632	206	89	117	2.89	4,167
2018.3/4	성북구	길음2동	4,948	11,837	5,753	6,084	11,694	5,692	6,002	143	61	82	2.36	1,884
2018.3/4	성북구	월곡1동	10,717	27,915	13,579	14,336	27,693	13,496	14,197	222	83	139	2.58	4,250
2018.3/4	성북구	월곡2동	8,914	20,791	10,149	10,642	20,179	9,867	10,312	612	282	330	2.26	3,267
2018.3/4	성북구	장위1동	9,025	21,309	10,513	10,796	21,097	10,439	10,658	212	74	138	2.34	3,406
2018.3/4	성북구	장위2동	6,903	15,920	7,942	7,978	15,639	7,822	7,817	281	120	161	2.27	3,191
2018.3/4	성북구	장위3동	4,852	11,855	5,951	5,904	11,664	5,864	5,800	191	87	104	2.4	1,904
2018.3/4	성북구	성북동	8,024	17,961	8,487	9,474	17,421	8,261	9,160	540	226	314	2.17	2,945
2018.3/4	성북구	삼선동	12,677	27,070	13,030	14,040	26,498	12,783	13,715	572	247	325	2.09	3,985
2018.3/4	성북구	동선동	8,896	16,507	7,007	9,500	15,659	6,757	8,902	848	250	598	1.76	2,157
2018.3/4	성북구	종암동	17,040	42,741	20,958	21,783	40,947	20,323	20,624	1,794	635	1,159	2.4	6,084
2018.3/4	성북구	석관동	14,719	33,976	16,865	17,111	33,096	16,434	16,662	880	431	449	2.25	5,866
2018.3/4	강북구	소계	143,172	324,276	158,263	166,013	320,576	156,829	163,747	3,700	1,434	2,266	2.24	57,741
2018.3/4	강북구	번1동	10,160	20,002	9,938	10,064	19,638	9,796	9,842	364	142	222	1.93	3,331
2018.3/4	강북구	번2동	7,542	17,609	8,515	9,094	17,480	8,477	9,003	129	38	91	2.32	3,615
2018.3/4	강북구	번3동	7,606	19,020	9,017	10,003	18,936	9,004	9,932	84	13	71	2.49	4,363
2018.3/4	강북구	수유1동	10,296	22,309	10,986	11,323	22,041	10,885	11,156	268	101	167	2.14	4,014
2018.3/4	강북구	수유2동	9,548	22,583	10,936	11,647	22,432	10,888	11,544	151	48	103	2.35	4,268
2018.3/4	강북구	수유3동	12,306	24,252	12,046	12,206	23,846	11,905	11,941	406	141	265	1.94	4,077
2018.3/4	강북구	삼양동	11,984	27,226	13,545	13,681	27,030	13,471	13,559	196	74	122	2.26	4,672
2018.3/4	강북구	미아동	11,188	23,260	11,194	12,066	22,737	10,985	11,752	523	209	314	2.03	4,017
2018.3/4	강북구	송중동	13,038	29,773	14,341	15,432	29,209	14,092	15,117	564	249	315	2.24	5,298
2018.3/4	강북구	송천동	13,773	29,632	14,785	14,847	29,143	14,560	14,583	489	225	264	2.12	5,573
2018.3/4	강북구	삼각산동	11,888	33,688	16,218	17,470	33,551	16,163	17,388	137	55	82	2.82	3,953
2018.3/4	강북구	우이동	9,461	21,854	10,653	11,201	21,723	10,598	11,125	131	55	76	2.3	4,294
2018.3/4	강북구	인수동	14,382	33,068	16,089	16,979	32,810	16,005	16,805	258	84	174	2.28	6,266
2018.3/4	도봉구	소계	137,901	342,990	167,726	175,264	340,876	166,926	173,950	2,114	800	1,314	2.47	55,499
2018.3/4	도봉구	쌍문1동	9,165	22,455	10,842	11,613	22,205	10,761	11,444	250	81	169	2.42	3,935
2018.3/4	도봉구	쌍문2동	8,695	20,622	10,008	10,614	20,476	9,928	10,548	146	80	66	2.35	3,428
2018.3/4	도봉구	쌍문3동	7,648	17,372	8,376	8,996	17,211	8,318	8,893	161	58	103	2.25	3,097
2018.3/4	도봉구	쌍문4동	7,180	20,179	9,639	10,540	20,129	9,623	10,506	50	16	34	2.8	2,566
2018.3/4	도봉구	방학1동	12,714	30,579	15,137	15,442	30,299	15,036	15,263	280	101	179	2.38	4,984
2018.3/4	도봉구	방학2동	9,564	21,797	10,995	10,802	21,609	10,923	10,686	188	72	116	2.26	3,835
2018.3/4	도봉구	방학3동	10,134	29,486	14,413	15,073	29,415	14,391	15,024	71	22	49	2.9	4,109
2018.3/4	도봉구	창1동	10,892	26,883	12,894	13,989	26,726	12,836	13,890	157	58	99	2.45	4,006
2018.3/4	도봉구	창2동	12,397	31,473	15,442	16,031	31,207	15,334	15,873	266	108	158	2.52	4,528
2018.3/4	도봉구	창3동	6,680	15,241	7,593	7,648	15,148	7,562	7,586	93	31	62	2.27	2,672
2018.3/4	도봉구	창4동	10,574	28,588	13,811	14,777	28,504	13,775	14,729	84	36	48	2.7	3,728
2018.3/4	도봉구	창5동	9,899	26,226	12,676	13,550	26,125	12,641	13,484	101	35	66	2.64	3,792
2018.3/4	도봉구	도봉1동	10,293	22,981	11,607	11,374	22,834	11,556	11,278	147	51	96	2.22	5,097
2018.3/4	도봉구	도봉2동	12,066	29,108	14,293	14,815	28,988	14,242	14,746	120	51	69	2.4	5,722
2018.3/4	노원구	소계	217,900	551,069	267,318	283,751	546,911	265,555	281,356	4,158	1,763	2,395	2.51	76,466
2018.3/4	노원구	월계1동	10,509	24,154	12,465	11,689	23,635	12,230	11,405	519	235	284	2.25	3,901
2018.3/4	노원구	월계2동	11,240	26,836	12,948	13,888	26,697	12,902	13,795	139	46	93	2.38	4,858
2018.3/4	노원구	월계3동	12,984	32,697	15,736	16,961	32,512	15,665	16,847	185	71	114	2.5	5,262
2018.3/4	노원구	공릉2동	16,168	41,641	20,428	21,213	41,170	20,189	20,981	471	239	232	2.55	4,586
2018.3/4	노원구	하계1동	12,461	30,235	14,697	15,538	29,712	14,441	15,271	523	256	267	2.38	3,854
2018.3/4	노원구	하계2동	8,347	23,981	11,480	12,501	23,926	11,454	12,472	55	26	29	2.87	2,841
2018.3/4	노원구	중계본동	9,243	26,955	13,230	13,725	26,871	13,197	13,674	84	33	51	2.91	2,520
2018.3/4	노원구	중계1동	9,138	28,474	13,907	14,567	28,392	13,875	14,517	82	32	50	3.11	2,180
2018.3/4	노원구	중계4동	8,463	21,866	10,639	11,227	21,785	10,612	11,173	81	27	54	2.57	3,572
2018.3/4	노원구	상계1동	15,649	41,190	20,088	21,102	41,023	20,027	20,996	167	61	106	2.62	6,063
2018.3/4	노원구	상계2동	8,766	21,719	10,721	10,998	21,554	10,658	10,896	165	63	102	2.46	2,973
2018.3/4	노원구	상계5동	11,104	26,410	12,883	13,527	26,257	12,832	13,425	153	51	102	2.36	4,625
2018.3/4	노원구	상계8동	9,303	24,631	11,889	12,742	24,582	11,880	12,702	49	9	40	2.64	2,495
2018.3/4	노원구	상계9동	8,510	22,524	10,817	11,707	22,433	10,793	11,640	91	24	67	2.64	2,887
2018.3/4	노원구	상계10동	6,652	17,071	7,906	9,165	17,007	7,876	9,131	64	30	34	2.56	1,988
2018.3/4	노원구	상계3.4동	11,811	26,942	13,415	13,527	26,799	13,370	13,429	143	45	98	2.27	5,442
2018.3/4	노원구	상계6.7동	14,073	35,649	16,649	19,000	35,495	16,589	18,906	154	60	94	2.52	4,280
2018.3/4	노원구	중계2.3동	15,495	38,090	17,802	20,288	37,934	17,745	20,189	156	57	99	2.45	6,612
2018.3/4	노원구	공릉1동	17,984	40,004	19,618	20,386	39,127	19,220	19,907	877	398	479	2.18	5,527
2018.3/4	은평구	소계	203,951	487,849	236,029	251,820	483,417	234,119	249,298	4,432	1,910	2,522	2.37	76,643
2018.3/4	은평구	녹번동	14,826	33,139	15,968	17,171	32,741	15,791	16,950	398	177	221	2.21	5,696
2018.3/4	은평구	불광1동	17,734	41,847	19,977	21,870	41,535	19,850	21,685	312	127	185	2.34	7,013
2018.3/4	은평구	갈현1동	11,164	25,361	12,412	12,949	25,062	12,256	12,806	299	156	143	2.24	4,074
2018.3/4	은평구	갈현2동	12,563	30,822	14,729	16,093	30,447	14,567	15,880	375	162	213	2.42	4,497
2018.3/4	은평구	구산동	12,777	33,947	16,979	16,968	33,720	16,878	16,842	227	101	126	2.64	5,484
2018.3/4	은평구	대조동	15,678	32,892	15,547	17,345	32,451	15,343	17,108	441	204	237	2.07	5,308
2018.3/4	은평구	응암1동	11,214	26,198	12,601	13,597	25,899	12,463	13,436	299	138	161	2.31	3,912
2018.3/4	은평구	응암2동	8,232	21,184	10,376	10,808	20,981	10,289	10,692	203	87	116	2.55	2,817
2018.3/4	은평구	신사1동	11,548	28,752	13,922	14,830	28,518	13,830	14,688	234	92	142	2.47	4,384
2018.3/4	은평구	신사2동	9,136	22,313	11,159	11,154	22,152	11,101	11,051	161	58	103	2.42	3,422
2018.3/4	은평구	증산동	6,908	16,510	8,174	8,336	16,391	8,119	8,272	119	55	64	2.37	2,879
2018.3/4	은평구	수색동	5,080	11,924	5,975	5,949	11,815	5,925	5,890	109	50	59	2.33	2,168
2018.3/4	은평구	진관동	20,187	56,349	26,727	29,622	56,115	26,628	29,487	234	99	135	2.78	6,996
2018.3/4	은평구	불광2동	13,652	30,011	14,611	15,400	29,720	14,485	15,235	291	126	165	2.18	5,286
2018.3/4	은평구	응암3동	12,418	26,423	12,958	13,465	26,090	12,832	13,258	333	126	207	2.1	5,144
2018.3/4	은평구	역촌동	20,834	50,177	23,914	26,263	49,780	23,762	26,018	397	152	245	2.39	7,563
2018.3/4	서대문구	소계	138,027	322,497	153,727	168,770	310,584	149,728	160,856	11,913	3,999	7,914	2.25	50,278
2018.3/4	서대문구	천연동	8,311	19,165	9,152	10,013	18,921	9,038	9,883	244	114	130	2.28	3,160
2018.3/4	서대문구	홍제1동	9,521	23,306	10,948	12,358	23,020	10,822	12,198	286	126	160	2.42	3,996
2018.3/4	서대문구	홍제3동	7,136	16,769	8,139	8,630	16,595	8,064	8,531	174	75	99	2.33	3,302
2018.3/4	서대문구	홍제2동	5,844	14,915	7,146	7,769	14,801	7,094	7,707	114	52	62	2.53	2,559
2018.3/4	서대문구	홍은1동	9,754	24,228	11,783	12,445	23,906	11,648	12,258	322	135	187	2.45	4,300
2018.3/4	서대문구	홍은2동	12,532	29,608	14,419	15,189	28,977	14,153	14,824	631	266	365	2.31	4,825
2018.3/4	서대문구	남가좌1동	6,088	17,261	8,293	8,968	16,862	8,128	8,734	399	165	234	2.77	2,080
2018.3/4	서대문구	남가좌2동	10,170	23,023	11,090	11,933	22,416	10,847	11,569	607	243	364	2.2	3,881
2018.3/4	서대문구	북가좌1동	7,005	19,488	9,455	10,033	19,333	9,392	9,941	155	63	92	2.76	2,785
2018.3/4	서대문구	북가좌2동	14,737	34,402	16,819	17,583	34,100	16,689	17,411	302	130	172	2.31	5,678
2018.3/4	서대문구	충현동	8,832	18,545	9,054	9,491	18,119	8,860	9,259	426	194	232	2.05	3,084
2018.3/4	서대문구	북아현동	7,564	17,820	8,462	9,358	17,425	8,301	9,124	395	161	234	2.3	2,252
2018.3/4	서대문구	신촌동	11,939	23,496	9,533	13,963	18,607	8,498	10,109	4,889	1,035	3,854	1.56	2,170
2018.3/4	서대문구	연희동	18,594	40,471	19,434	21,037	37,502	18,194	19,308	2,969	1,240	1,729	2.02	6,206
2018.3/4	마포구	소계	171,320	385,032	182,174	202,858	374,106	177,973	196,133	10,926	4,201	6,725	2.18	50,559
2018.3/4	마포구	용강동	9,154	22,700	10,883	11,817	22,153	10,586	11,567	547	297	250	2.42	2,709
2018.3/4	마포구	대흥동	7,185	13,824	6,375	7,449	11,866	5,802	6,064	1,958	573	1,385	1.65	1,882
2018.3/4	마포구	염리동	4,952	11,235	5,282	5,953	10,293	4,993	5,300	942	289	653	2.08	1,682
2018.3/4	마포구	신수동	9,207	21,832	10,611	11,221	21,363	10,444	10,919	469	167	302	2.32	2,972
2018.3/4	마포구	서교동	13,894	26,155	12,005	14,150	24,607	11,441	13,166	1,548	564	984	1.77	3,305
2018.3/4	마포구	합정동	9,561	19,529	9,066	10,463	19,168	8,919	10,249	361	147	214	2	2,548
2018.3/4	마포구	망원1동	10,329	21,681	10,299	11,382	21,310	10,144	11,166	371	155	216	2.06	3,188
2018.3/4	마포구	망원2동	8,245	19,797	9,470	10,327	19,608	9,396	10,212	189	74	115	2.38	2,793
2018.3/4	마포구	연남동	8,747	17,520	8,203	9,317	16,473	7,736	8,737	1,047	467	580	1.88	2,438
